Category,Model,Features,Acc,F1,Sens,Spec,Std
MULTIMODAL,COMBINED_Task_01-Task_02_prova2,Hybrid/Combined,0.8352631578947369,0.8324893115140792,0.9777777777777779,0.7054545454545456,0.037792259096876286
MULTIMODAL,multimodal_text_bert-base-italian-xxl-cased_Task_01,BERT/Transformer,0.8142105263157895,0.8123872962263056,0.8288888888888888,0.8036363636363637,0.0857038642919363
MULTIMODAL,multimodal_text_bert-base-italian-xxl-cased_Task_02,BERT/Transformer,0.7921052631578946,0.7872928164400772,0.7422222222222222,0.8400000000000001,0.10612802596268736
MULTIMODAL,multimodal_text_umberto-commoncrawl-cased-v1_Task_01,BERT/Transformer,0.7826315789473683,0.7801211057947901,0.7377777777777779,0.82,0.054074945427542404
MULTIMODAL,multimodal_text_umberto-commoncrawl-cased-v1_Task_02,BERT/Transformer,0.7821052631578947,0.7818104083738758,0.76,0.8018181818181818,0.07198029893591057
MULTIMODAL,COMBINED_Task_01-Task_02_prova1,Hybrid/Combined,0.7821052631578947,0.7747316413563553,0.9111111111111111,0.6618181818181819,0.08600715038238106
TEXT-ONLY,text_umberto-commoncrawl-cased-v1_ASR-WhisperX_large-v3_Task_02,BERT/Transformer,0.773157894736842,0.7700569023115799,0.7844444444444443,0.761818181818182,0.06955338331234437
TEXT-ONLY,text_umberto-commoncrawl-cased-v1_ASR-WhisperX_large-v3_Task_01,BERT/Transformer,0.7726315789473684,0.7715098351940457,0.7177777777777777,0.8236363636363636,0.044460446488300796
MULTIMODAL,multimodal_text_umberto-commoncrawl-cased-v1_Task_03,BERT/Transformer,0.7110526315789473,0.701260105264682,0.6577777777777778,0.7654545454545454,0.02736842105263157
TEXT-ONLY,text_umberto-commoncrawl-cased-v1_ASR-WhisperX_large-v3_Task_05,BERT/Transformer,0.7105263157894738,0.699746018664783,0.5688888888888888,0.8418181818181818,0.09896976230352136
TEXT-ONLY,text_umberto-commoncrawl-cased-v1_ASR-WhisperX_large-v3_Task_03,BERT/Transformer,0.7015789473684211,0.6941215706863842,0.6066666666666667,0.7836363636363636,0.06479458272215745
MULTIMODAL,multimodal_text_umberto-commoncrawl-cased-v1_Task_04,BERT/Transformer,0.7010526315789475,0.6894623359097043,0.611111111111111,0.7890909090909091,0.050854199280762805
TEXT-ONLY,text_umberto-commoncrawl-cased-v1_ASR-WhisperX_large-v3_Task_06,BERT/Transformer,0.7,0.6949608804620245,0.6288888888888889,0.7618181818181817,0.04512217947232171
MULTIMODAL,multimodal_text_umberto-commoncrawl-cased-v1_Task_05,BERT/Transformer,0.6994736842105264,0.6928966425507009,0.6133333333333333,0.7818181818181817,0.08013838446599697
MULTIMODAL,multimodal_text_umberto-commoncrawl-cased-v1_Task_06,BERT/Transformer,0.6905263157894737,0.6888780775468083,0.7177777777777777,0.6654545454545454,0.03417406964367984
ACOUSTIC-ONLY,Task_06,Hybrid/Combined,0.686569200779727,0.6713196962452881,0.5786111111111111,0.7799999999999999,0.07334794022896325
MULTIMODAL,multimodal_text_bert-base-italian-xxl-cased_Task_04,BERT/Transformer,0.68,0.6731343510290879,0.6088888888888889,0.7509090909090909,0.10622716472878203
ACOUSTIC-ONLY,Task_04,Hybrid/Combined,0.6678362573099416,0.6516689840992075,0.5837037037037037,0.7384848484848486,0.07589398347341658
ACOUSTIC-ONLY,Task_01,Hybrid/Combined,0.6669298245614036,0.6408977030782249,0.6348148148148148,0.6945454545454545,0.08217089631548927
MULTIMODAL,multimodal_text_bert-base-italian-xxl-cased_Task_05,BERT/Transformer,0.6594736842105263,0.6476682361027495,0.5022222222222221,0.8,0.09484788813493165
TEXT-ONLY,text_umberto-commoncrawl-cased-v1_ASR-WhisperX_large-v3_Task_04,BERT/Transformer,0.6594736842105263,0.6509336277757329,0.6533333333333333,0.6690909090909092,0.02792947191878232
ACOUSTIC-ONLY,Task_07,Hybrid/Combined,0.6441715399610136,0.6306249794275595,0.620462962962963,0.6648484848484849,0.09636097743928075
TEXT-ONLY,text_umberto-commoncrawl-cased-v1_ASR-WhisperX_large-v3_Task_07,BERT/Transformer,0.6284210526315789,0.597732876357725,0.5666666666666667,0.6890909090909091,0.08560360879854996
MULTIMODAL,multimodal_text_bert-base-italian-xxl-cased_Task_03,BERT/Transformer,0.6189473684210527,0.6081839381061348,0.48,0.749090909090909,0.04844964830680023
ACOUSTIC-ONLY,Task_02,Hybrid/Combined,0.5957894736842105,0.5639164200305066,0.5777777777777778,0.6118181818181818,0.060576571066354
ACOUSTIC-ONLY,Task_05,Hybrid/Combined,0.5939473684210527,0.5470549607003662,0.4383333333333333,0.733030303030303,0.05261624053855183
MULTIMODAL,multimodal_text_umberto-commoncrawl-cased-v1_Task_07,BERT/Transformer,0.5868421052631578,0.5777540718804685,0.6777777777777778,0.5127272727272727,0.10752826079596979
ACOUSTIC-ONLY,Task_03,Hybrid/Combined,0.5300877192982457,0.4961670776502582,0.4762962962962963,0.5793939393939394,0.09069676940236787
