Modello,Config,Accuracy,F1-Score,Recall (Sens),Specificity,Folds_Found
COMBINED_Task_01-Task_02_prova2,Standard (T=0.5),0.835,0.833,0.978,0.706,1
multimodal_text_bert-base-italian-xxl-cased_Task_01,Standard (T=0.5),0.814,0.815,0.826,0.804,1
multimodal_text_bert-base-italian-xxl-cased_Task_02,Standard (T=0.5),0.794,0.793,0.739,0.843,1
multimodal_text_umberto-commoncrawl-cased-v1_Task_01,Standard (T=0.5),0.784,0.783,0.739,0.824,1
multimodal_text_umberto-commoncrawl-cased-v1_Task_02,Standard (T=0.5),0.784,0.783,0.761,0.804,1
COMBINED_Task_01-Task_02_prova1,Standard (T=0.5),0.784,0.781,0.913,0.667,1
Task_01,Standard (T=0.5),0.784,0.783,0.761,0.804,1
text_umberto-commoncrawl-cased-v1_ASR-WhisperX_large-v3_Task_02,Standard (T=0.5),0.773,0.773,0.783,0.765,1
text_umberto-commoncrawl-cased-v1_ASR-WhisperX_large-v3_Task_01,Standard (T=0.5),0.773,0.772,0.717,0.824,1
Task_04,Standard (T=0.5),0.760,0.761,0.756,0.765,1
Task_06,Standard (T=0.5),0.729,0.729,0.756,0.706,1
Task_07,Standard (T=0.5),0.719,0.719,0.733,0.706,1
multimodal_text_umberto-commoncrawl-cased-v1_Task_03,Standard (T=0.5),0.711,0.710,0.652,0.765,1
text_umberto-commoncrawl-cased-v1_ASR-WhisperX_large-v3_Task_05,Standard (T=0.5),0.711,0.705,0.565,0.843,1
Task_06,Standard (T=0.5),0.708,0.703,0.578,0.824,1
Task_07,Standard (T=0.5),0.708,0.707,0.644,0.765,1
Task_06,Standard (T=0.5),0.708,0.701,0.556,0.843,1
text_umberto-commoncrawl-cased-v1_ASR-WhisperX_large-v3_Task_03,Standard (T=0.5),0.701,0.698,0.609,0.784,1
multimodal_text_umberto-commoncrawl-cased-v1_Task_04,Standard (T=0.5),0.701,0.698,0.609,0.784,1
multimodal_text_umberto-commoncrawl-cased-v1_Task_05,Standard (T=0.5),0.701,0.698,0.609,0.784,1
text_umberto-commoncrawl-cased-v1_ASR-WhisperX_large-v3_Task_06,Standard (T=0.5),0.701,0.699,0.630,0.765,1
Task_01,Standard (T=0.5),0.701,0.699,0.630,0.765,1
multimodal_text_umberto-commoncrawl-cased-v1_Task_06,Standard (T=0.5),0.691,0.691,0.717,0.667,1
multimodal_text_bert-base-italian-xxl-cased_Task_04,Standard (T=0.5),0.680,0.679,0.609,0.745,1
Task_02,Standard (T=0.5),0.680,0.678,0.587,0.765,1
Task_02,Standard (T=0.5),0.680,0.680,0.630,0.725,1
Task_04,Standard (T=0.5),0.677,0.674,0.578,0.765,1
Task_04,Standard (T=0.5),0.677,0.674,0.578,0.765,1
Task_01,Standard (T=0.5),0.670,0.670,0.674,0.667,1
Task_04,Standard (T=0.5),0.667,0.667,0.644,0.686,1
Task_06,Standard (T=0.5),0.667,0.653,0.467,0.843,1
Task_05,Standard (T=0.5),0.667,0.665,0.600,0.725,1
multimodal_text_bert-base-italian-xxl-cased_Task_05,Standard (T=0.5),0.660,0.651,0.500,0.804,1
text_umberto-commoncrawl-cased-v1_ASR-WhisperX_large-v3_Task_04,Standard (T=0.5),0.660,0.660,0.652,0.667,1
Task_01,Standard (T=0.5),0.660,0.659,0.609,0.706,1
Task_06,Standard (T=0.5),0.656,0.651,0.533,0.765,1
Task_06,Standard (T=0.5),0.656,0.655,0.600,0.706,1
COMBINED_Task_01-Task_02_prova2,TRIAGE (T=0.35),0.649,0.615,0.978,0.353,1
Task_07,Standard (T=0.5),0.646,0.640,0.511,0.765,1
Task_02,Standard (T=0.5),0.639,0.634,0.522,0.745,1
text_umberto-commoncrawl-cased-v1_ASR-WhisperX_large-v3_Task_07,Standard (T=0.5),0.629,0.627,0.565,0.686,1
Task_03,Standard (T=0.5),0.629,0.626,0.543,0.706,1
Task_01,Standard (T=0.5),0.629,0.626,0.543,0.706,1
multimodal_text_bert-base-italian-xxl-cased_Task_03,Standard (T=0.5),0.619,0.611,0.478,0.745,1
Task_03,Standard (T=0.5),0.619,0.618,0.587,0.647,1
Task_07,Standard (T=0.5),0.615,0.614,0.667,0.569,1
Task_04,Standard (T=0.5),0.615,0.615,0.600,0.627,1
Task_04,Standard (T=0.5),0.615,0.593,0.378,0.824,1
Task_05,Standard (T=0.5),0.615,0.601,0.422,0.784,1
Task_07,Standard (T=0.5),0.604,0.602,0.533,0.667,1
Task_05,Standard (T=0.5),0.594,0.593,0.533,0.647,1
Task_05,Standard (T=0.5),0.594,0.594,0.578,0.608,1
multimodal_text_umberto-commoncrawl-cased-v1_Task_07,Standard (T=0.5),0.588,0.585,0.674,0.510,1
Task_05,Standard (T=0.5),0.583,0.547,0.289,0.843,1
Task_07,Standard (T=0.5),0.562,0.562,0.622,0.510,1
Task_03,Standard (T=0.5),0.557,0.556,0.522,0.588,1
Task_01,Standard (T=0.5),0.557,0.557,0.587,0.529,1
Task_02,Standard (T=0.5),0.546,0.546,0.500,0.588,1
Task_02,Standard (T=0.5),0.536,0.536,0.543,0.529,1
Task_03,Standard (T=0.5),0.536,0.535,0.478,0.588,1
Task_05,Standard (T=0.5),0.510,0.457,0.178,0.804,1
Task_02,Standard (T=0.5),0.495,0.480,0.674,0.333,1
Task_03,Standard (T=0.5),0.454,0.453,0.500,0.412,1
Task_03,Standard (T=0.5),0.381,0.368,0.217,0.529,1
