Modello,Config,Accuracy,F1-Score,Recall (Sens),Specificity,n_folds
COMBINED_Task_01-Task_02_prova2,TRIAGE CLINICO (T=0.35),0.649 (single fold),0.615 (single fold),0.978 (single fold),0.353 (single fold),1
COMBINED_Task_01-Task_02_prova2,Standard (T=0.5),0.835 (single fold),0.833 (single fold),0.978 (single fold),0.706 (single fold),1
multimodal_text_bert-base-italian-xxl-cased_Task_01,Standard (T=0.5),0.814 (single fold),0.815 (single fold),0.826 (single fold),0.804 (single fold),1
multimodal_text_bert-base-italian-xxl-cased_Task_02,Standard (T=0.5),0.794 (single fold),0.793 (single fold),0.739 (single fold),0.843 (single fold),1
multimodal_text_umberto-commoncrawl-cased-v1_Task_01,Standard (T=0.5),0.784 (single fold),0.783 (single fold),0.739 (single fold),0.824 (single fold),1
multimodal_text_umberto-commoncrawl-cased-v1_Task_02,Standard (T=0.5),0.784 (single fold),0.783 (single fold),0.761 (single fold),0.804 (single fold),1
COMBINED_Task_01-Task_02_prova1,Standard (T=0.5),0.784 (single fold),0.781 (single fold),0.913 (single fold),0.667 (single fold),1
Task_01,Standard (T=0.5),0.784 (single fold),0.783 (single fold),0.761 (single fold),0.804 (single fold),1
text_umberto-commoncrawl-cased-v1_ASR-WhisperX_large-v3_Task_02,Standard (T=0.5),0.773 (single fold),0.773 (single fold),0.783 (single fold),0.765 (single fold),1
text_umberto-commoncrawl-cased-v1_ASR-WhisperX_large-v3_Task_01,Standard (T=0.5),0.773 (single fold),0.772 (single fold),0.717 (single fold),0.824 (single fold),1
Task_04,Standard (T=0.5),0.760 (single fold),0.761 (single fold),0.756 (single fold),0.765 (single fold),1
Task_06,Standard (T=0.5),0.729 (single fold),0.729 (single fold),0.756 (single fold),0.706 (single fold),1
Task_07,Standard (T=0.5),0.719 (single fold),0.719 (single fold),0.733 (single fold),0.706 (single fold),1
multimodal_text_umberto-commoncrawl-cased-v1_Task_03,Standard (T=0.5),0.711 (single fold),0.710 (single fold),0.652 (single fold),0.765 (single fold),1
text_umberto-commoncrawl-cased-v1_ASR-WhisperX_large-v3_Task_05,Standard (T=0.5),0.711 (single fold),0.705 (single fold),0.565 (single fold),0.843 (single fold),1
Task_06,Standard (T=0.5),0.708 (single fold),0.703 (single fold),0.578 (single fold),0.824 (single fold),1
Task_07,Standard (T=0.5),0.708 (single fold),0.707 (single fold),0.644 (single fold),0.765 (single fold),1
Task_06,Standard (T=0.5),0.708 (single fold),0.701 (single fold),0.556 (single fold),0.843 (single fold),1
text_umberto-commoncrawl-cased-v1_ASR-WhisperX_large-v3_Task_03,Standard (T=0.5),0.701 (single fold),0.698 (single fold),0.609 (single fold),0.784 (single fold),1
multimodal_text_umberto-commoncrawl-cased-v1_Task_04,Standard (T=0.5),0.701 (single fold),0.698 (single fold),0.609 (single fold),0.784 (single fold),1
multimodal_text_umberto-commoncrawl-cased-v1_Task_05,Standard (T=0.5),0.701 (single fold),0.698 (single fold),0.609 (single fold),0.784 (single fold),1
text_umberto-commoncrawl-cased-v1_ASR-WhisperX_large-v3_Task_06,Standard (T=0.5),0.701 (single fold),0.699 (single fold),0.630 (single fold),0.765 (single fold),1
Task_01,Standard (T=0.5),0.701 (single fold),0.699 (single fold),0.630 (single fold),0.765 (single fold),1
multimodal_text_umberto-commoncrawl-cased-v1_Task_06,Standard (T=0.5),0.691 (single fold),0.691 (single fold),0.717 (single fold),0.667 (single fold),1
multimodal_text_bert-base-italian-xxl-cased_Task_04,Standard (T=0.5),0.680 (single fold),0.679 (single fold),0.609 (single fold),0.745 (single fold),1
Task_02,Standard (T=0.5),0.680 (single fold),0.678 (single fold),0.587 (single fold),0.765 (single fold),1
Task_02,Standard (T=0.5),0.680 (single fold),0.680 (single fold),0.630 (single fold),0.725 (single fold),1
Task_04,Standard (T=0.5),0.677 (single fold),0.674 (single fold),0.578 (single fold),0.765 (single fold),1
Task_04,Standard (T=0.5),0.677 (single fold),0.674 (single fold),0.578 (single fold),0.765 (single fold),1
Task_01,Standard (T=0.5),0.670 (single fold),0.670 (single fold),0.674 (single fold),0.667 (single fold),1
Task_04,Standard (T=0.5),0.667 (single fold),0.667 (single fold),0.644 (single fold),0.686 (single fold),1
Task_06,Standard (T=0.5),0.667 (single fold),0.653 (single fold),0.467 (single fold),0.843 (single fold),1
Task_05,Standard (T=0.5),0.667 (single fold),0.665 (single fold),0.600 (single fold),0.725 (single fold),1
multimodal_text_bert-base-italian-xxl-cased_Task_05,Standard (T=0.5),0.660 (single fold),0.651 (single fold),0.500 (single fold),0.804 (single fold),1
text_umberto-commoncrawl-cased-v1_ASR-WhisperX_large-v3_Task_04,Standard (T=0.5),0.660 (single fold),0.660 (single fold),0.652 (single fold),0.667 (single fold),1
Task_01,Standard (T=0.5),0.660 (single fold),0.659 (single fold),0.609 (single fold),0.706 (single fold),1
Task_06,Standard (T=0.5),0.656 (single fold),0.651 (single fold),0.533 (single fold),0.765 (single fold),1
Task_06,Standard (T=0.5),0.656 (single fold),0.655 (single fold),0.600 (single fold),0.706 (single fold),1
Task_07,Standard (T=0.5),0.646 (single fold),0.640 (single fold),0.511 (single fold),0.765 (single fold),1
Task_02,Standard (T=0.5),0.639 (single fold),0.634 (single fold),0.522 (single fold),0.745 (single fold),1
text_umberto-commoncrawl-cased-v1_ASR-WhisperX_large-v3_Task_07,Standard (T=0.5),0.629 (single fold),0.627 (single fold),0.565 (single fold),0.686 (single fold),1
Task_03,Standard (T=0.5),0.629 (single fold),0.626 (single fold),0.543 (single fold),0.706 (single fold),1
Task_01,Standard (T=0.5),0.629 (single fold),0.626 (single fold),0.543 (single fold),0.706 (single fold),1
multimodal_text_bert-base-italian-xxl-cased_Task_03,Standard (T=0.5),0.619 (single fold),0.611 (single fold),0.478 (single fold),0.745 (single fold),1
Task_03,Standard (T=0.5),0.619 (single fold),0.618 (single fold),0.587 (single fold),0.647 (single fold),1
Task_07,Standard (T=0.5),0.615 (single fold),0.614 (single fold),0.667 (single fold),0.569 (single fold),1
Task_04,Standard (T=0.5),0.615 (single fold),0.615 (single fold),0.600 (single fold),0.627 (single fold),1
Task_04,Standard (T=0.5),0.615 (single fold),0.593 (single fold),0.378 (single fold),0.824 (single fold),1
Task_05,Standard (T=0.5),0.615 (single fold),0.601 (single fold),0.422 (single fold),0.784 (single fold),1
Task_07,Standard (T=0.5),0.604 (single fold),0.602 (single fold),0.533 (single fold),0.667 (single fold),1
Task_05,Standard (T=0.5),0.594 (single fold),0.593 (single fold),0.533 (single fold),0.647 (single fold),1
Task_05,Standard (T=0.5),0.594 (single fold),0.594 (single fold),0.578 (single fold),0.608 (single fold),1
multimodal_text_umberto-commoncrawl-cased-v1_Task_07,Standard (T=0.5),0.588 (single fold),0.585 (single fold),0.674 (single fold),0.510 (single fold),1
Task_05,Standard (T=0.5),0.583 (single fold),0.547 (single fold),0.289 (single fold),0.843 (single fold),1
Task_07,Standard (T=0.5),0.562 (single fold),0.562 (single fold),0.622 (single fold),0.510 (single fold),1
Task_03,Standard (T=0.5),0.557 (single fold),0.556 (single fold),0.522 (single fold),0.588 (single fold),1
Task_01,Standard (T=0.5),0.557 (single fold),0.557 (single fold),0.587 (single fold),0.529 (single fold),1
Task_02,Standard (T=0.5),0.546 (single fold),0.546 (single fold),0.500 (single fold),0.588 (single fold),1
Task_02,Standard (T=0.5),0.536 (single fold),0.536 (single fold),0.543 (single fold),0.529 (single fold),1
Task_03,Standard (T=0.5),0.536 (single fold),0.535 (single fold),0.478 (single fold),0.588 (single fold),1
Task_05,Standard (T=0.5),0.510 (single fold),0.457 (single fold),0.178 (single fold),0.804 (single fold),1
Task_02,Standard (T=0.5),0.495 (single fold),0.480 (single fold),0.674 (single fold),0.333 (single fold),1
Task_03,Standard (T=0.5),0.454 (single fold),0.453 (single fold),0.500 (single fold),0.412 (single fold),1
Task_03,Standard (T=0.5),0.381 (single fold),0.368 (single fold),0.217 (single fold),0.529 (single fold),1
