Category,Model,Task,Acc,F1,Sens,Spec
FUSION,Multimodal (Acoustic-Base),T01,0.835 ± 0.038,0.832 ± 0.039,0.978 ± 0.044,0.705 ± 0.064
FUSION,Multimodal (BERT-IT),T01,0.814 ± 0.086,0.812 ± 0.086,0.829 ± 0.126,0.804 ± 0.142
FUSION,Multimodal (BERT-IT),T02,0.792 ± 0.106,0.787 ± 0.109,0.742 ± 0.141,0.840 ± 0.185
ACOUSTIC,Whisper-v3 (Audio),T01,0.784 ± 0.081,0.780 ± 0.086,0.762 ± 0.189,0.804 ± 0.064
FUSION,Multimodal (UmBERTo),T01,0.783 ± 0.054,0.780 ± 0.055,0.738 ± 0.115,0.820 ± 0.098
FUSION,Multimodal (UmBERTo),T02,0.782 ± 0.072,0.782 ± 0.072,0.760 ± 0.085,0.802 ± 0.066
FUSION,Multimodal (Acoustic-Base),T01,0.782 ± 0.086,0.775 ± 0.093,0.911 ± 0.083,0.662 ± 0.177
TEXTUAL,UmBERTo,T02,0.773 ± 0.070,0.770 ± 0.072,0.784 ± 0.093,0.762 ± 0.151
TEXTUAL,UmBERTo,T01,0.773 ± 0.044,0.772 ± 0.044,0.718 ± 0.050,0.824 ± 0.074
ACOUSTIC,Whisper-v3 (Audio),T04,0.760 ± 0.054,0.759 ± 0.054,0.754 ± 0.088,0.764 ± 0.052
ACOUSTIC,eGeMAPS,T06,0.727 ± 0.069,0.727 ± 0.069,0.754 ± 0.047,0.704 ± 0.094
ACOUSTIC,Whisper-v3 (Audio),T07,0.723 ± 0.119,0.717 ± 0.122,0.732 ± 0.090,0.709 ± 0.221
ACOUSTIC,Whisper-v3 (Audio),T07,0.711 ± 0.104,0.707 ± 0.107,0.646 ± 0.126,0.764 ± 0.151
FUSION,Multimodal (UmBERTo),T03,0.711 ± 0.027,0.701 ± 0.032,0.658 ± 0.170,0.765 ± 0.173
TEXTUAL,UmBERTo,T05,0.711 ± 0.099,0.700 ± 0.105,0.569 ± 0.171,0.842 ± 0.121
